row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,order_quarter,order_week,order_dow,shipping_days,profit_margin_pct,discounted_revenue,cogs,customer_ltv,customer_order_rank,is_repeat_customer,sales_growth_pct,revenue_per_unit,is_high_value_order,is_loss_order
2230,CA-2014-128055,2014-03-31,2014-04-05,Standard Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,673.568,2,0.2,252.588,2014,3,1,14,Monday,5,37.5,538.85,420.98,5563.56,1,0,1132.13,336.78,1,0
2231,CA-2014-128055,2014-03-31,2014-04-05,Standard Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94122,West,OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,52.98,2,0.0,14.8344,2014,3,1,14,Monday,5,28.0,52.98,38.15,5563.56,2,1,1132.13,26.49,0,0
7469,CA-2014-138100,2014-09-15,2014-09-20,Standard Class,AA-10315,Alex Avila,Consumer,United States,New York City,New York,10011,East,OFF-PA-10000349,Office Supplies,Paper,Easy-staple paper,14.94,3,0.0,7.0218,2014,9,3,38,Monday,5,47.0,14.94,7.92,5563.56,3,1,193.01,4.98,0,0
7470,CA-2014-138100,2014-09-15,2014-09-20,Standard Class,AA-10315,Alex Avila,Consumer,United States,New York City,New York,10011,East,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",14.56,2,0.0,6.2608,2014,9,3,38,Monday,5,43.0,14.56,8.3,5563.56,4,1,193.01,7.28,0,0
1300,CA-2015-121391,2015-10-04,2015-10-07,First Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",26.96,2,0.0,7.0096,2015,10,4,40,Sunday,3,26.0,26.96,19.95,5563.56,5,1,-51.38,13.48,0,0
5199,CA-2016-103982,2016-03-03,2016-03-08,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3,0.2,-786.0144,2016,3,1,9,Thursday,5,-20.0,3144.06,4716.09,5563.56,6,1,125.06,1310.02,1,1
5200,CA-2016-103982,2016-03-03,2016-03-08,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",2.304,1,0.2,0.7776,2016,3,1,9,Thursday,5,33.75,1.84,1.53,5563.56,7,1,125.06,2.3,0,0
5201,CA-2016-103982,2016-03-03,2016-03-08,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,431.976,3,0.2,32.3982,2016,3,1,9,Thursday,5,7.5,345.58,399.58,5563.56,8,1,125.06,143.99,1,0
5202,CA-2016-103982,2016-03-03,2016-03-08,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",41.72,7,0.2,5.7365,2016,3,1,9,Thursday,5,13.75,33.38,35.98,5563.56,9,1,125.06,5.96,0,0
1160,CA-2017-147039,2017-06-29,2017-07-04,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",362.94,3,0.0,90.735,2017,6,2,26,Thursday,5,25.0,362.94,272.2,5563.56,10,1,19.7,120.98,1,0
1161,CA-2017-147039,2017-06-29,2017-07-04,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,11.54,2,0.0,5.77,2017,6,2,26,Thursday,5,50.0,11.54,5.77,5563.56,11,1,19.7,5.77,0,0
1173,CA-2014-158064,2014-04-21,2014-04-25,Standard Class,AA-10375,Allen Armold,Consumer,United States,Los Angeles,California,90008,West,OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco,16.52,5,0.2,5.5755,2014,4,2,17,Monday,4,33.75,13.22,10.94,1056.39,1,0,-49.19,3.3,0,0
3008,CA-2014-130729,2014-10-24,2014-10-29,Standard Class,AA-10375,Allen Armold,Consumer,United States,Rancho Cucamonga,California,91730,West,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,34.272,3,0.2,11.1384,2014,10,4,43,Friday,5,32.5,27.42,23.13,1056.39,2,1,-61.54,11.42,0,0
808,CA-2015-140921,2015-02-03,2015-02-05,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,28.4,2,0.0,11.076,2015,2,1,6,Tuesday,2,39.0,28.4,17.32,1056.39,3,1,-34.24,14.2,0,0
809,CA-2015-140921,2015-02-03,2015-02-05,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104,Central,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,149.97,3,0.0,50.9898,2015,2,1,6,Tuesday,2,34.0,149.97,98.98,1056.39,4,1,-34.24,49.99,0,0
1979,CA-2015-109939,2015-05-08,2015-05-12,Standard Class,AA-10375,Allen Armold,Consumer,United States,Salem,Oregon,97301,West,OFF-AR-10000127,Office Supplies,Art,Newell 321,5.248,2,0.2,0.5904,2015,5,2,19,Friday,4,11.25,4.2,4.66,1056.39,5,1,-11.88,2.62,0,0
6466,CA-2015-114503,2015-11-13,2015-11-17,Standard Class,AA-10375,Allen Armold,Consumer,United States,Lebanon,Tennessee,37087,South,OFF-ST-10003572,Office Supplies,Storage,Portfile Personal File Boxes,84.96,6,0.2,6.372,2015,11,4,46,Friday,4,7.5,67.97,78.59,1056.39,6,1,141.91,14.16,0,0
536,CA-2016-126613,2016-07-10,2016-07-16,Standard Class,AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,16.768,2,0.2,1.4672,2016,7,3,27,Sunday,6,8.75,13.41,15.3,1056.39,7,1,-2.68,8.38,0,0
2264,CA-2016-131065,2016-11-14,2016-11-16,Second Class,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,499.98,2,0.0,114.9954,2016,11,4,46,Monday,2,23.0,499.98,384.98,1056.39,8,1,33.05,249.99,1,0
2265,CA-2016-131065,2016-11-14,2016-11-16,Second Class,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318,South,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),5.28,1,0.0,2.376,2016,11,4,46,Monday,2,45.0,5.28,2.9,1056.39,9,1,33.05,5.28,0,0
2266,CA-2016-131065,2016-11-14,2016-11-16,Second Class,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",8.26,2,0.0,3.8822,2016,11,4,46,Monday,2,47.0,8.26,4.38,1056.39,10,1,33.05,4.13,0,0
